S_no,runNumber,eventNumber,channelNumber,mcWeight,pvxp_n,vxp_z,ScaleFactor_PILEUP,ScaleFactor_ELE,scaleFactor_MUON,scaleFactor_BTAG,scaleFactor_TRIGGER,scaleFactor_JVFSF,scaleFactor_ZVERTEX,trigE,trigM,passGRL,hasGoodVertex,lep_n,met_et,met_phi,jet_n,alljet_n
0,195847,25001,105986,1,6,-166.55519,2.186532,1,1.0010457,1,0.95879626,1,0.09574773,0,10,10,10,1,13005.887,2.8763988,0,0
1,195847,25003,105986,1,10,-69.966705,2.186532,0.9677949,1,0.9980363,0.9951444,1,0.94832295,10,0,10,10,1,16715.988,-2.4920316,1,1
2,195847,25006,105986,1,8,32.918198,2.186532,1,1.0046498,1,1.0094981,1,1.1422145,0,10,10,10,2,15029.9,-2.3478143,0,0
3,195847,25010,105986,1,4,48.57101,2.186532,0.97542703,1,0.9943637,0.98260576,1,0.9712242,10,0,10,10,1,18126.95,2.933031,1,2
4,195847,25011,105986,1,4,25.586668,2.186532,1,0.9997714,0.96182156,0.91431314,1,1.2063638,0,10,10,10,2,8925.328,-0.47782117,2,2
5,195847,25012,105986,1,15,80.115105,2.186532,0.9369935,1,1,0.9999278,1,0.60530263,10,0,10,10,2,161218.64,1.5243999,0,0
6,195847,25018,105986,1,5,-60.173832,2.186532,1,0.9980301,0.99453396,0.9598816,1,1.0548555,0,10,10,10,1,50765.656,2.8735542,3,4
7,195847,25023,105986,1,6,32.0856,2.186532,1,1.0032374,0.89491594,1.0521481,1,1.147058,0,10,10,10,2,19070.326,1.359557,2,2
8,195847,25024,105986,1,5,18.328465,2.186532,1,1.0066396,0.993114,0.9666501,1,1.2651358,0,10,10,10,2,23427.385,2.6126115,3,3
9,195847,25025,105986,1,7,-28.567686,2.186532,1,0.998421,1.0165073,1.0460393,1,1.3171415,0,10,10,10,1,82680.42,2.836135,1,1
